Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-04-09,69139.015625,71742.5078125,68212.921875,71632.5,36426900409,53.25816266982517,1171.7386770510639,1348.7381024236915,66761.572265625,68637.62890625,67699.6005859375,62155.923828125,72936.58481276494,63872.486280985075
2024-04-10,70587.8828125,71093.4296875,67503.5625,69140.2421875,38318601774,56.07268053985575,1214.9555683288636,1321.981595604726,66761.572265625,68637.62890625,67699.6005859375,62155.923828125,73079.29755530602,64239.42275719397
2024-04-11,70060.609375,71256.234375,69571.8125,70575.734375,30153382941,54.77993879495284,1192.9076098618389,1296.1667984561486,66761.572265625,68637.62890625,67699.6005859375,62155.923828125,72816.61297870001,65130.292099425
2024-04-12,67195.8671875,71222.7421875,65254.8359375,70061.3828125,44129299406,48.26874269423197,933.5127373037976,1223.6359862256786,66761.572265625,68914.578125,67838.0751953125,62155.923828125,72367.35236070729,65892.91912366771
2024-04-13,63821.47265625,67931.4296875,60919.10546875,67188.375,52869738185,41.9444908266638,450.4623447747872,1069.0012579355002,66761.572265625,66817.232421875,66789.40234375,62155.923828125,72868.53534626821,65050.46621623178
2024-04-14,65738.7265625,65824.4296875,62205.8515625,63836.23046875,49084320047,46.25335667909652,219.81391756802623,899.1637898620055,66761.572265625,66817.232421875,66789.40234375,62155.923828125,72868.86206387097,64628.13090487904
2024-04-15,63426.2109375,66878.6484375,62332.0703125,65739.6484375,43595917654,42.18629594391286,-147.87272246653447,689.7564873962975,66817.232421875,66817.232421875,66817.232421875,62167.7578125,73100.69466137179,63740.13580737822
2024-04-16,63811.86328125,64355.66796875,61716.40234375,63419.296875,42847528078,43.0850884652133,-403.4968520808761,471.1058195008629,66817.232421875,66817.232421875,66817.232421875,62340.55078125,73199.86759098546,63076.61483088953
2024-04-17,61276.69140625,64486.36328125,59768.5859375,63831.84765625,41915247049,38.81333897105842,-801.4098456296633,216.60268647475766,66241.97265625,65755.546875,65998.759765625,62340.55078125,73390.2770641932,61939.3791858068
2024-04-18,63512.75390625,64125.6875,60833.48046875,61275.31640625,36006307335,44.07968742682906,-925.6568081464648,-11.849212449486828,66241.97265625,65512.41015625,65877.19140625,64117.134765625,73247.42244752283,61444.22638060219
2024-04-19,63843.5703125,65481.59765625,59651.390625,63510.75,49920425401,44.836163307839406,-986.0625861650769,-206.69188719260487,66183.375,65453.8125,65818.59375,65244.248046875,73046.38815947404,61065.087231150974
2024-04-20,64994.44140625,65442.45703125,63172.40234375,63851.1015625,23097485495,47.49709167109422,-930.3444892575644,-351.42240760559685,66183.375,65437.06640625,65810.220703125,66536.990234375,72455.04552679953,61022.50916070047
